trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,condition,gender,high_trust_img,identity,low_trust_img,range,instru_text.started,instru_text.stopped,instru_key_resp.keys,instru_key_resp.rt,instru_key_resp.started,instru_key_resp.stopped,fixation_text.started,fixation_text.stopped,first_image,identity,condition,编号*,session,date,expName,psychopyVersion,frameRate,trials_file,
,,,,,,,,,,25.713546099999803,None,space,1.6680128000007244,25.713546099999803,None,,,,,,1,001,2025_Jul_24_1625,experiment3_1,2021.2.3,90.86209042700409,data\temp_trials_1.csv,
,,,,1,,,24,,,,,,,,,27.42566259999876,None,1-24-13.jpg,24,1,,,,,,,,
